# v4 region ring: NAMED vertices joined by straight lines (the polygon closes itself). SOURCE OF TRUTH.
# Rule (user, 2026-09-25): contain the NACCS Sandy peak +3 m water, connected from the ocean, with a margin;
# rivers are crossed where that water ends; neighbour basins with their own inlets (NY Upper Bay / Hudson,
# Jamaica Bay, Rehoboth Bay, the Chesapeake) are shut off at the declared lines in v4_crossings.geojson.
# Traced ONCE (logs/v4_design_2026-09-25/trace_ring_guide.py: 500 m net margin, gaps < ~10 km closed,
# 1 km straight-line tolerance); from here on it is EDITED BY HAND, and checked, never regenerated.
# Sections run: ocean south -> Delaware west shore -> C&D -> Wilmington -> PA -> Trenton -> NJ Delaware shore
# -> Cumberland -> NJ Atlantic inland -> Raritan -> Newark -> Hackensack -> Hudson route -> NY corner -> ocean.
name,lon,lat,note
nj_atlantic_n_10,-74.158,40.1649,
nj_atlantic_n_11,-74.1055,40.1807,
nj_atlantic_n_12,-74.0363,40.2608,
nj_atlantic_n_13,-74.0547,40.2898,
nj_atlantic_n_14,-74.1064,40.2965,
nj_atlantic_n_15,-74.1297,40.3156,
nj_atlantic_n_16,-74.1124,40.3727,
nj_atlantic_n_17,-74.135,40.4039,
nj_atlantic_n_18,-74.1861,40.4151,
nj_atlantic_n_19,-74.2506,40.3921,
nj_atlantic_n_20,-74.3065,40.3974,
nj_atlantic_n_21,-74.364,40.3626,
nj_atlantic_n_22,-74.3993,40.3673,
nj_atlantic_n_23,-74.4186,40.3814,
nj_atlantic_n_24,-74.3906,40.4137,
nj_atlantic_n_25,-74.3986,40.4434,
raritan_01,-74.5159,40.5291,
raritan_02,-74.5767,40.533,
raritan_03,-74.5843,40.5447,
raritan_04,-74.5209,40.5697,
raritan_05,-74.4728,40.5276,
raritan_06,-74.4016,40.5038,
raritan_07,-74.3234,40.5336,
newark_01,-74.306,40.644,Rahway: moved N 09-26 so the meander is IN and the river crosses once (was -74.3006 40.6285; 3 crossings)
newark_02,-74.1846,40.7385,
newark_03,-74.1345,40.8548,
newark_04,-74.1376,40.8877,
newark_05,-74.0746,40.8994,
hackensack_01,-74.0392,40.9653,
hackensack_02,-73.9918,40.9937,
hackensack_03,-73.9694,40.9787,
hackensack_04,-73.9951,40.9325,
hudson_route_01,-73.9641,40.8916,upper_bay_hudson_route (declared edge)
hudson_route_02,-73.9661,40.8834,upper_bay_hudson_route (declared edge)
hudson_route_03,-73.9856,40.8393,upper_bay_hudson_route (declared edge)
hudson_route_04,-73.995,40.828,upper_bay_hudson_route (declared edge)
