lon,lat,depth_m,adcirc_id,stwave_id,match_dist_m,have
-74.05849,39.97625,4.000278,,1033,,stwave_only
-74.05495,39.98971,5.607075,,1035,,stwave_only
-74.032176,40.083923,9.945479,5829,,,adcirc_only
-74.06718,40.09023,2.998315,13711,,,adcirc_only
-74.08217,40.09468,2.992397,11492,,,adcirc_only
-74.086667,40.096667,-0.016996,7450,,,adcirc_only
-74.04004,40.09698,-1.25,13717,,,adcirc_only
-74.027252,40.097087,9.92608,5831,,,adcirc_only
-74.0574,40.0987,2.990885,11491,,,adcirc_only
-74.03059,40.10049,5.277214,11483,,,adcirc_only
-74.035,40.101667,-1.171863,7449,,,adcirc_only
-74.034733,40.102213,3.594407,3540,,,adcirc_only
-74.03504,40.10265,3.987208,13715,,,adcirc_only
-74.05125,40.10306,0.485832,13716,,,adcirc_only
-74.09149,40.10414,3.012475,13718,,,adcirc_only
-74.042157,40.104154,1.93606,5384,,,adcirc_only
-74.04044,40.10454,2.733966,13714,,,adcirc_only
-74.026771,40.107424,10.623993,3725,,,adcirc_only
-74.030915,40.107707,4.579834,3726,,,adcirc_only
-74.04747,40.11467,0.249862,13712,,,adcirc_only
-74.09581,40.11737,3.006477,11493,,,adcirc_only
-74.024296,40.121019,9.890154,3727,,,adcirc_only
-74.028601,40.121303,4.669445,3728,,,adcirc_only
-74.020303,40.1344,10.38073,3729,,,adcirc_only
-74.024891,40.134716,4.584607,3730,,,adcirc_only
-74.02437,40.1383,1.454389,11484,,,adcirc_only
-74.03288,40.14073,-1.5,13713,,,adcirc_only
-73.9333,40.1452,20.21514,11328,,,adcirc_only
-74.016564,40.147825,10.26304,3731,,,adcirc_only
-74.020622,40.148036,3.743767,3732,,,adcirc_only
-74.012035,40.161105,10.207836,3733,,,adcirc_only
-74.016735,40.161428,4.500522,3734,,,adcirc_only
-74.0149,40.1682,3.336473,11485,,,adcirc_only
-74.007022,40.174283,10.285967,3735,,,adcirc_only
-74.012131,40.17468,3.747485,3736,,,adcirc_only
-74.045977,40.179234,0.859388,3535,,,adcirc_only
-74.03464,40.18003,1.328935,13724,,,adcirc_only
-74.03396,40.18408,0.241257,13721,,,adcirc_only
-74.0499,40.18435,0.222606,13722,,,adcirc_only
-74.008333,40.185,1.022839,7445,,,adcirc_only
-74.0083,40.185,1.167746,3553,,,adcirc_only
-74.03923,40.18557,2.569827,13723,,,adcirc_only
-74.0237,40.18624,1.656071,11489,,,adcirc_only
-74.002603,40.187584,9.958507,3737,,,adcirc_only
-74.01546,40.18773,1.584861,13719,,,adcirc_only
-74.00722,40.18773,3.624927,11486,,,adcirc_only
-74.007671,40.187944,2.947166,3738,,,adcirc_only
-74.05935,40.19124,-0.022463,13725,,,adcirc_only
-74.038333,40.191667,0.796209,7444,,,adcirc_only
-74.0383,40.1917,0.846055,3537,,,adcirc_only
-74.03545,40.19462,0.197925,13720,,,adcirc_only
-73.999719,40.201131,10.593336,3739,,,adcirc_only
-74.004077,40.201383,4.643543,3740,,,adcirc_only
-73.995721,40.214512,9.848009,3741,,,adcirc_only
-73.99957,40.214655,3.83909,3742,,,adcirc_only
-73.99696,40.22244,2.197419,11487,,,adcirc_only
-73.991574,40.227866,10.051293,3743,,,adcirc_only
-73.995622,40.228023,1.613135,3744,,,adcirc_only
-73.994,40.2294,4.769775,3558,,,adcirc_only
-73.987793,40.241285,9.423575,3745,,,adcirc_only
