hwm_id,quality,obs_m,mod_m,resid_m,motf_wet,suspect
6156,3,1.554,2.461,0.907,1,True
6133,3,1.554,2.459,0.905,1,True
6155,1,1.585,2.45,0.865,1,True
6154,2,3.566,2.977,-0.589,1,False
6160,1,4.42,4.199,-0.221,1,False
6159,2,4.42,4.204,-0.216,1,False
6132,2,3.81,3.959,0.149,1,False
6158,1,3.962,3.858,-0.104,1,False
6152,3,2.926,3.0,0.074,1,False
6157,1,3.658,3.728,0.07,1,False
6153,2,3.566,3.569,0.003,1,False
